"experiment_id","experiment_year","genotype_level","crop_id","genotype_name"
"LTFE_Duernast",2015,19,"WHT","Lennox"
"LTFE_Duernast",2016,18,"MAZ","Lapriora"
"LTFE_Duernast",2017,15,"WHT","Kerubino"
"LTFE_Duernast",2018,35,NA,"Keine Angabe"
"LTFE_Duernast",2018,1,"MAZ","Amagrano"
"LTFE_Duernast",2019,2,"WHT","Apostel"
"LTFE_Duernast",2020,27,"WHT","Sharki"
"LTFE_Duernast",2021,36,"BAR","Sandra"
"LTFE_Duernast",2022,37,"MAZ","Agrobeppo"
