"experiment_id","experiment_year","treatment_number","plot_id","harvest_date","harvest_yld_matur_dry_wt","obs_summary_comment"
"LTFE_Duernast",2016,NA,20,"2016-10-12",10351,NA
"LTFE_Duernast",2016,NA,21,"2016-10-12",9479,NA
"LTFE_Duernast",2016,NA,22,"2016-10-12",10124,NA
"LTFE_Duernast",2016,NA,23,"2016-10-12",2650,NA
"LTFE_Duernast",2016,NA,24,"2016-10-12",3435,NA
"LTFE_Duernast",2016,NA,25,"2016-10-12",9816,NA
"LTFE_Duernast",2016,NA,26,"2016-10-12",6892,NA
"LTFE_Duernast",2016,NA,27,"2016-10-12",7830,NA
"LTFE_Duernast",2016,NA,28,"2016-10-12",9140,NA
"LTFE_Duernast",2016,NA,29,"2016-10-12",9258,NA
"LTFE_Duernast",2016,NA,30,"2016-10-12",10053,NA
"LTFE_Duernast",2016,NA,31,"2016-10-12",8497,NA
"LTFE_Duernast",2016,NA,32,"2016-10-12",9686,NA
"LTFE_Duernast",2016,NA,33,"2016-10-12",10729,NA
"LTFE_Duernast",2016,NA,34,"2016-10-12",9118,NA
"LTFE_Duernast",2016,NA,35,"2016-10-12",9362,NA
"LTFE_Duernast",2016,NA,36,"2016-10-12",10322,NA
"LTFE_Duernast",2016,NA,37,"2016-10-12",4036,NA
"LTFE_Duernast",2016,NA,38,"2016-10-12",3211,NA
"LTFE_Duernast",2016,NA,39,"2016-10-12",8504,NA
"LTFE_Duernast",2016,NA,40,"2016-10-12",10232,NA
"LTFE_Duernast",2016,NA,41,"2016-10-12",8938,NA
"LTFE_Duernast",2016,NA,42,"2016-10-12",8809,NA
"LTFE_Duernast",2016,NA,43,"2016-10-12",9207,NA
"LTFE_Duernast",2016,NA,44,"2016-10-12",9556,NA
"LTFE_Duernast",2016,NA,45,"2016-10-12",8768,NA
"LTFE_Duernast",2016,NA,46,"2016-10-12",9754,NA
"LTFE_Duernast",2016,NA,47,"2016-10-12",7969,NA
"LTFE_Duernast",2016,NA,48,"2016-10-12",8147,NA
"LTFE_Duernast",2016,NA,49,"2016-10-12",9500,NA
"LTFE_Duernast",2016,NA,50,"2016-10-12",9677,NA
"LTFE_Duernast",2016,NA,51,"2016-10-12",3608,NA
"LTFE_Duernast",2016,NA,52,"2016-10-12",3718,NA
"LTFE_Duernast",2016,NA,53,"2016-10-12",9234,NA
"LTFE_Duernast",2016,NA,54,"2016-10-12",9398,NA
"LTFE_Duernast",2016,NA,55,"2016-10-12",8606,NA
"LTFE_Duernast",2016,NA,56,"2016-10-12",9509,NA
"LTFE_Duernast",2016,NA,57,"2016-10-12",10776,NA
"LTFE_Duernast",2016,NA,58,"2016-10-12",10094,NA
"LTFE_Duernast",2016,NA,59,"2016-10-12",8766,NA
"LTFE_Duernast",2016,NA,60,"2016-10-12",10124,NA
"LTFE_Duernast",2016,NA,61,"2016-10-12",9274,NA
"LTFE_Duernast",2016,NA,62,"2016-10-12",8886,NA
"LTFE_Duernast",2016,NA,63,"2016-10-12",6024,NA
"LTFE_Duernast",2016,NA,64,"2016-10-12",7351,NA
"LTFE_Duernast",2017,NA,1,"2017-08-07",2617,NA
"LTFE_Duernast",2017,NA,2,"2017-08-07",2236,NA
"LTFE_Duernast",2017,NA,3,"2017-08-07",5423,NA
"LTFE_Duernast",2017,NA,4,"2017-08-07",8381,NA
"LTFE_Duernast",2017,NA,5,"2017-08-07",7219,NA
"LTFE_Duernast",2017,NA,6,"2017-08-07",9002,NA
"LTFE_Duernast",2017,NA,7,"2017-08-07",5870,NA
"LTFE_Duernast",2017,NA,8,"2017-08-07",7721,NA
"LTFE_Duernast",2017,NA,9,"2017-08-07",8443,NA
"LTFE_Duernast",2017,NA,10,"2017-08-07",9954,NA
"LTFE_Duernast",2017,NA,11,"2017-08-07",9238,NA
"LTFE_Duernast",2017,NA,12,"2017-08-07",10378,NA
"LTFE_Duernast",2017,NA,13,"2017-08-07",7088,NA
"LTFE_Duernast",2017,NA,14,"2017-08-07",8441,NA
"LTFE_Duernast",2017,NA,15,"2017-08-07",7462,NA
"LTFE_Duernast",2017,NA,16,"2017-08-07",9365,NA
"LTFE_Duernast",2017,NA,17,"2017-08-07",7585,NA
"LTFE_Duernast",2017,NA,18,"2017-08-07",9375,NA
"LTFE_Duernast",2017,NA,19,"2017-08-07",8052,NA
"LTFE_Duernast",2017,NA,20,"2017-08-07",10058,NA
"LTFE_Duernast",2017,NA,21,"2017-08-07",7702,NA
"LTFE_Duernast",2017,NA,22,"2017-08-07",9304,NA
"LTFE_Duernast",2017,NA,23,"2017-08-07",2576,NA
"LTFE_Duernast",2017,NA,24,"2017-08-07",3581,NA
"LTFE_Duernast",2017,NA,25,"2017-08-07",9005,NA
"LTFE_Duernast",2017,NA,26,"2017-08-07",10171,NA
"LTFE_Duernast",2017,NA,27,"2017-08-07",6934,NA
"LTFE_Duernast",2017,NA,28,"2017-08-07",8961,NA
"LTFE_Duernast",2017,NA,29,"2017-08-07",8229,NA
"LTFE_Duernast",2017,NA,30,"2017-08-07",9693,NA
"LTFE_Duernast",2017,NA,31,"2017-08-07",8170,NA
"LTFE_Duernast",2017,NA,32,"2017-08-07",9813,NA
"LTFE_Duernast",2017,NA,33,"2017-08-07",8186,NA
"LTFE_Duernast",2017,NA,34,"2017-08-07",10279,NA
"LTFE_Duernast",2017,NA,35,"2017-08-07",7308,NA
"LTFE_Duernast",2017,NA,36,"2017-08-07",9349,NA
"LTFE_Duernast",2017,NA,37,"2017-08-07",2723,NA
"LTFE_Duernast",2017,NA,38,"2017-08-07",2728,NA
"LTFE_Duernast",2017,NA,39,"2017-08-07",6202,NA
"LTFE_Duernast",2017,NA,40,"2017-08-07",8922,NA
"LTFE_Duernast",2017,NA,41,"2017-08-07",7097,NA
"LTFE_Duernast",2017,NA,42,"2017-08-07",8763,NA
"LTFE_Duernast",2017,NA,43,"2017-08-07",7911,NA
"LTFE_Duernast",2017,NA,44,"2017-08-07",9510,NA
"LTFE_Duernast",2017,NA,45,"2017-08-07",8205,NA
"LTFE_Duernast",2017,NA,46,"2017-08-07",9848,NA
"LTFE_Duernast",2017,NA,47,"2017-08-07",7816,NA
"LTFE_Duernast",2017,NA,48,"2017-08-07",9098,NA
"LTFE_Duernast",2017,NA,49,"2017-08-07",7634,NA
"LTFE_Duernast",2017,NA,50,"2017-08-07",9263,NA
"LTFE_Duernast",2017,NA,51,"2017-08-07",1565,NA
"LTFE_Duernast",2017,NA,52,"2017-08-07",2395,NA
"LTFE_Duernast",2017,NA,53,"2017-08-07",6133,NA
"LTFE_Duernast",2017,NA,54,"2017-08-07",8610,NA
"LTFE_Duernast",2017,NA,55,"2017-08-07",6102,NA
"LTFE_Duernast",2017,NA,56,"2017-08-07",8267,NA
"LTFE_Duernast",2017,NA,57,"2017-08-07",8580,NA
"LTFE_Duernast",2017,NA,58,"2017-08-07",9302,NA
"LTFE_Duernast",2017,NA,59,"2017-08-07",7876,NA
"LTFE_Duernast",2017,NA,60,"2017-08-07",9893,NA
"LTFE_Duernast",2017,NA,61,"2017-08-07",7937,NA
"LTFE_Duernast",2017,NA,62,"2017-08-07",9331,NA
"LTFE_Duernast",2017,NA,63,"2017-08-07",5036,NA
"LTFE_Duernast",2017,NA,64,"2017-08-07",6934,NA
"LTFE_Duernast",2018,NA,1,"2018-09-26",6776,NA
"LTFE_Duernast",2018,NA,2,"2018-09-26",6455,NA
"LTFE_Duernast",2018,NA,3,"2018-09-26",10438,NA
"LTFE_Duernast",2018,NA,4,"2018-09-26",11956,NA
"LTFE_Duernast",2018,NA,5,"2018-09-26",10667,NA
"LTFE_Duernast",2018,NA,6,"2018-09-26",11270,NA
"LTFE_Duernast",2018,NA,7,"2018-09-26",9456,NA
"LTFE_Duernast",2018,NA,8,"2018-09-26",10847,NA
"LTFE_Duernast",2018,NA,9,"2018-09-26",10720,NA
"LTFE_Duernast",2018,NA,10,"2018-09-26",12740,NA
