"experiment_id","experiment_year","crop_id","planting_date","plant_pop_at_planting","planting_material_weight","row_spacing","plant_spacing","planting_notes"
"LTFE_Duernast",2015,"WHT","2015-03-18T00:00:00",NA,NA,NA,NA,NA
"LTFE_Duernast",2016,"MAZ","2016-05-04T00:00:00",NA,NA,30,NA,NA
"LTFE_Duernast",2017,"WHT","2016-10-24T00:00:00",NA,NA,NA,NA,NA
"LTFE_Duernast",2018,NA,"2017-08-31T00:00:00",NA,NA,NA,NA,NA
"LTFE_Duernast",2018,"MAZ","2018-04-25T00:00:00",NA,NA,NA,NA,NA
"LTFE_Duernast",2019,"WHT","2018-10-11T00:00:00",NA,NA,NA,NA,NA
"LTFE_Duernast",2020,"WHT","2020-03-31T00:00:00",350,NA,NA,NA,NA
"LTFE_Duernast",2021,"BAR","2020-09-16T00:00:00",350,NA,NA,NA,NA
"LTFE_Duernast",2022,"MAZ","2022-05-02T00:00:00",NA,NA,NA,NA,NA
