"experiment_id","experiment_year","initial_conditions_level","residue_nature_prev_crop"
"LTFE_Duernast",2015,41,NA
"LTFE_Duernast",2016,42,"WHT"
"LTFE_Duernast",2017,43,"MAZ"
"LTFE_Duernast",2018,44,"WHT"
"LTFE_Duernast",2018,45,NA
"LTFE_Duernast",2019,46,"MAZ"
"LTFE_Duernast",2020,47,"WHT"
"LTFE_Duernast",2021,48,"WHT"
"LTFE_Duernast",2022,49,"BAR"
