*EVALUATION : TUDU1701WH                                                              DSSAT Cropping System Model Ver. 4.8.5.000   -release    MAR 01, 2026; 09:34:40

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   EDAPS   EDAPM
   1 TUDU1701WH     1  1 WH     229  109797     -99     -99     -99     -99     282    9554    6192 19 5423     -99     -99   15667     -99    39.5     -99    39.2     -99   11404     -99       0     -99    2.96     -99   0.543     -99     -99     -99     128     -99     145     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      13     -99
   2 TUDU1701WH     2  1 WH     229  328947     -99     -99     -99     -99     282    9554    6202 19 7219     -99     -99   15762     -99    39.3     -99    39.4     -99   11445     -99       0     -99    2.96     -99   0.542     -99     -99     -99     129     -99     145     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      13     -99
   3 TUDU1701WH     3  1 WH     229     222     -99     -99     -99     -99     282    9554    2948 19 5870     -99     -99    7478     -99    39.4     -99    18.7     -99    4868     -99       0     -99    1.01     -99   0.606     -99     -99     -99      52     -99      58     -99       0     -99     1.8     -99       2     -99      35     -99    0.00     -99      13     -99
   4 TUDU1701WH     4  1 WH     229  109797     -99     -99     -99     -99     282    9554    6181 19 8443     -99     -99   15676     -99    39.4     -99    39.2     -99   11393     -99       0     -99    2.95     -99   0.543     -99     -99     -99     128     -99     144     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      13     -99
   5 TUDU1701WH     5  1 WH     229  292422     -99     -99     -99     -99     282    9554    6699 19 9238     -99     -99   18868     -99    35.5     -99    47.2     -99   13323     -99       0     -99    3.81     -99   0.503     -99     -99     -99     122     -99     142     -99       0     -99     1.8     -99       2     -99      35     -99    0.00     -99      13     -99
   6 TUDU1701WH     6  1 WH     229  292422     -99     -99     -99     -99     282    9554    6168 19 7088     -99     -99   15655     -99    39.4     -99    39.1     -99   11364     -99       0     -99    2.93     -99   0.543     -99     -99     -99     126     -99     143     -99       0     -99     2.0     -99       2     -99      35     -99    0.00     -99      13     -99
   7 TUDU1701WH     7  1 WH     229   73272     -99     -99     -99     -99     282    9554    6711 19 7462     -99     -99   18861     -99    35.6     -99    47.2     -99   13346     -99       0     -99    3.81     -99   0.503     -99     -99     -99     122     -99     142     -99       0     -99     1.8     -99       2     -99      35     -99    0.00     -99      13     -99
   8 TUDU1701WH     8  1 WH     229   36747     -99     -99     -99     -99     282    9554    7022 19 8381     -99     -99   20670     -99    34.0     -99    51.7     -99   14654     -99       0     -99    4.58     -99   0.479     -99     -99     -99     168     -99     191     -99       0     -99     2.4     -99       2     -99      35     -99    0.00     -99      13     -99
   9 TUDU1701WH     9  1 WH     229   73272     -99     -99     -99     -99     282    9554    7020 19 9002     -99     -99   20692     -99    33.9     -99    51.7     -99   14651     -99       0     -99    4.58     -99   0.479     -99     -99     -99     168     -99     191     -99       0     -99     2.4     -99       2     -99      35     -99    0.00     -99      13     -99
  10 TUDU1701WH    10  1 WH     229   36747     -99     -99     -99     -99     282    9554    2953 19 7721     -99     -99    7479     -99    39.5     -99    18.7     -99    4873     -99       0     -99    1.01     -99   0.606     -99     -99     -99      52     -99      58     -99       0     -99     1.8     -99       2     -99      35     -99    0.00     -99      13     -99
  11 TUDU1701WH    11  1 WH     229  146322     -99     -99     -99     -99     282    9554    7022 19 9954     -99     -99   20670     -99    34.0     -99    51.7     -99   14654     -99       0     -99    4.58     -99   0.479     -99     -99     -99     168     -99     191     -99       0     -99     2.4     -99       2     -99      35     -99    0.00     -99      13     -99
  12 TUDU1701WH    12  1 WH     229  279834     -99     -99     -99     -99     282   13754    7013 19 1037     -99     -99   20663     -99    33.9     -99    51.7     -99   14620     -99       0     -99    4.55     -99   0.480     -99     -99     -99     166     -99     190     -99       0     -99     2.4     -99       2     -99      35     -99    0.00     -99      13     -99
  13 TUDU1701WH    13  1 WH     229   36747     -99     -99     -99     -99     282    9554    7010 19 8441     -99     -99   20606     -99    34.0     -99    51.5     -99   14590     -99       0     -99    4.53     -99   0.480     -99     -99     -99     165     -99     188     -99       0     -99     2.4     -99       2     -99      35     -99    0.00     -99      13     -99
  14 TUDU1701WH    14  1 WH     229  182847     -99     -99     -99     -99     282    9554    6753 19 9365     -99     -99   19072     -99    35.4     -99    47.7     -99   13449     -99       0     -99    3.81     -99   0.502     -99     -99     -99     162     -99     183     -99       0     -99     2.4     -99       2     -99      35     -99    0.00     -99      13     -99
  15 TUDU1701WH    15  1 WH     229  255897     -99     -99     -99     -99     282    9554    2827 19 2617     -99     -99    7479     -99    37.8     -99    18.7     -99    4747     -99       0     -99    1.01     -99   0.596     -99     -99     -99      48     -99      54     -99       0     -99     1.7     -99       2     -99      35     -99    0.00     -99      13     -99
