
*SOIL N BALANCE - CENTURY ROUTINES

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  MAR 01, 2026 09:34:40

!                              |--------------- Initial N State Variables ----------------|----------------- Final N State Variables -----------------|------------- N Additions -------------|---------------- N Subtractions -----------------|--Mineralization---|----- Seasonal Balance -----|
!                              |----------------- Organic ----------------------|         |------------------ Organic ----------------------|         |  Harvest   Applied                    |              Tile-     Plant     N gas     Flood|   Miner-    Immob-|                            |
!                              | Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Residue   Residue  Fertiliz   Senesed|  Leached   drained    Uptake    Losses    Losses|   alized    ilized|Inorganic   Organic   Overall
@Run FILEX               TN CR     SN0Di    S1NTDi    S2NTDi    S3NTDi     LNTDi     NIADi      SN0D     S1NTD     S2NTD     S3NTD      LNTD      NIAD      HRNH     RESNC      NICM     SNNTC      NLCM      TDFC      NUCM     NGasC      RNRO      NMNC      NIMC    InNBal   OrgNBal     SNBAL
   1 TUDU1701.WHX         1 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16845.90      0.00     57.73     73.61      0.00      0.00    120.00      0.00     23.54      0.00    185.42      1.11      0.00     62.42      2.54     -0.00     -0.00     -0.00
   2 TUDU1701.WHX         2 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16845.98      0.00     57.75     73.05      0.00      0.00    120.00      0.00     23.52      0.00    186.07      0.93      0.00     62.31      2.54      0.00     -0.00     -0.00
   3 TUDU1701.WHX         3 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16838.19      0.00     57.99    114.16      0.00      0.00     40.00      0.00     24.72      0.00     69.35      2.89      0.00     69.18      1.86     -0.00     -0.00     -0.00
   4 TUDU1701.WHX         4 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16845.97      0.00     57.66     72.04      0.00      0.00    120.00      0.00     23.65      0.00    184.64      3.34      0.00     62.40      2.53      0.00     -0.00     -0.00
   5 TUDU1701.WHX         5 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16846.98      0.00     59.55     68.45      0.00      0.00    120.00      0.00     20.68      0.00    189.46      2.18      0.00     59.55      2.58     -0.00     -0.00     -0.00
   6 TUDU1701.WHX         6 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16845.92      0.00     57.80     71.41      0.00      0.00    120.00      0.00     23.71      0.00    182.89      5.58      0.00     62.33      2.54      0.00     -0.00     -0.00
   7 TUDU1701.WHX         7 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16846.72      0.00     60.57     68.78      0.00      0.00    120.00      0.00     20.66      0.00    188.32      2.27      0.00     58.80      2.58      0.00     -0.00     -0.00
   8 TUDU1701.WHX         8 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16847.46      0.00     60.03     72.38      0.00      0.00    180.00      0.00     18.39      0.00    248.20      0.84      0.00     58.63      2.62     -0.00     -0.00     -0.00
   9 TUDU1701.WHX         9 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16847.45      0.00     60.11     72.39      0.00      0.00    180.00      0.00     18.42      0.00    247.87      1.07      0.00     58.57      2.62      0.00     -0.00     -0.00
  10 TUDU1701.WHX        10 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16838.23      0.00     57.90    133.94      0.00      0.00     60.00      0.00     24.72      0.00     69.41      3.12      0.00     69.24      1.86     -0.00     -0.00     -0.00
  11 TUDU1701.WHX        11 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16847.46      0.00     60.03     72.38      0.00      0.00    180.00      0.00     18.39      0.00    248.20      0.84      0.00     58.63      2.62      0.00     -0.00     -0.00
  12 TUDU1701.WHX        12 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16847.43      0.00     60.17     72.17      0.00      0.00    180.00      0.00     18.48      0.00    246.02      3.05      0.00     58.54      2.62     -0.00      0.00     -0.00
  13 TUDU1701.WHX        13 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16847.46      0.00     60.19     71.33      0.00      0.00    180.00      0.00     18.55      0.00    244.65      5.13      0.00     58.48      2.62     -0.00     -0.00     -0.00
  14 TUDU1701.WHX        14 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16847.65      0.00     57.36     82.78      0.00      0.00    180.00      0.00     20.65      0.00    235.71      3.15      0.00     61.07      2.58     -0.00     -0.00     -0.00
  15 TUDU1701.WHX        15 WH      0.00      0.00  16871.71      0.00     91.80    103.80      0.00      0.00  16836.67      0.00     61.82     77.34      0.00      0.00      0.00      0.00     24.72      0.00     66.28      0.48      0.00     66.82      1.80     -0.00     -0.00     -0.00
