*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  MAR 01, 2026 09:34:20

*RUN   1        : 1                         WHAPS048 TUDU1501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         WHAPS048
  
!               |---------- Daily (g/ha) ----------|------- Cumulative (kg/ha) --------|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!               Soil CO2  Net CO2      N2O      CH4 Soil CO2  Net CO2      N2O      CH4  Net CO2      N2O      CH4    Total
!                g[C]/ha  g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   CO2END   N2OGED   CH4GED    CO2EC   CO2ENC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
   15 077     1    29546    -2375     0.01     0.00       30       -2     0.00     0.00       -9        0        0       -9
   15 078     2    25852    -2000     0.01     0.00       55       -4     0.00     0.00      -16        0        0      -16
   15 079     3    20121    -1281     0.02     0.00       76       -6     0.00     0.00      -21        0        0      -21
   15 080     4    13977     -781     0.02     0.00       89       -6     0.00     0.00      -24        0        0      -24
   15 081     5     9264     -531     0.02     0.00       99       -7     0.00     0.00      -26        0        0      -26
   15 082     6     2670      -31     0.02     0.00      101       -7     0.00     0.00      -26        0        0      -26
   15 083     7      146       94     0.02     0.00      102       -7     0.00     0.00      -25        0        0      -25
   15 084     8      153       63     0.02     0.00      102       -7     0.00     0.00      -25        0        0      -25
   15 085     9     1751       94     0.03     0.00      103       -7     0.00     0.00      -25        0        0      -25
   15 086    10     2967        0     0.03     0.00      106       -7     0.00     0.00      -25        0        0      -25
   15 087    11     5094     -156     0.03     0.00      112       -7     0.00     0.00      -25        0        0      -25
   15 088    12     8135     -344     0.03     0.00      120       -7     0.00     0.00      -27        0        0      -26
   15 089    13    10948     -438     0.04     0.00      131       -8     0.00     0.00      -28        0        0      -28
   15 090    14    10826     -813     0.03     0.00      141       -9     0.00     0.00      -31        0        0      -31
   15 091    15    12461    -1000     0.02     0.00      154      -10     0.00     0.00      -35        0        0      -35
   15 092    16     8826     -656     0.02     0.00      163      -10     0.00     0.00      -37        0        0      -37
   15 093    17     5194     -250     0.02     0.00      168      -10     0.00     0.00      -38        0        0      -38
   15 094    18      175       94     0.05     0.00      168      -10     0.00     0.00      -38        0        0      -38
   15 095    19       46        0     0.03     0.00      168      -10     0.00     0.00      -38        0        0      -38
   15 096    20        0        0     0.06     0.00      168      -10     0.00     0.00      -38        0        0      -38
   15 097    21        0        0     0.07     0.00      168      -10     0.00     0.00      -38        0        0      -38
   15 098    22        0        0     0.08     0.00      168      -10     0.00     0.00      -38        0        0      -38
   15 099    23        0        0     0.22     0.00      168      -10     0.00     0.00      -38        0        0      -37
   15 100    24       94       94     0.46     0.00      168      -10     0.00     0.00      -38        1        0      -37
   15 101    25     8345     -719     0.78     0.00      177      -11     0.00     0.00      -40        1        0      -39
   15 102    26    18065    -1469     1.16     0.00      195      -12     0.00     0.00      -46        2        0      -44
   15 103    27    26408    -1969     1.56     0.00      221      -14     0.00     0.00      -53        2        0      -50
   15 104    28    29842    -2000     1.88     0.00      251      -16     0.01     0.00      -60        3        0      -57
   15 105    29    29767    -1688     2.07     0.00      281      -18     0.01     0.00      -66        4        0      -62
   15 106    30    30417    -1406     2.16     0.00      311      -19     0.01     0.00      -71        5        0      -66
   15 107    31    31298     -875     2.18     0.00      342      -20     0.01     0.00      -75        6        0      -69
   15 108    32    45077    -4375     0.64     0.00      387      -25     0.01     0.00      -91        6        0      -84
   15 109    33    41417    -4469     1.48     0.00      429      -29     0.02     0.00     -107        7        0     -100
   15 110    34    35229    -3938     1.98     0.00      464      -33     0.02     0.00     -122        8        0     -113
   15 111    35    25495    -2531     1.82     0.00      490      -36     0.02     0.00     -131        9        0     -122
   15 112    36    18035    -1531     1.65     0.00      508      -37     0.02     0.00     -136       10        0     -127
   15 113    37    16762    -1188     1.51     0.00      524      -38     0.02     0.00     -141       10        0     -130
