*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  MAR 01, 2026 09:34:20
!                             <----------------- Initial State Variables ----------------><------------------ Final State Variables -----------------><----------- Added ----------><---------------- Lost ---------------->
!                             <-------- SOM-C -------><-------- FOM-C -------><-----CH4--><-------- SOM-C -------><-------- FOM-C -------><-----CH4--><---OM---><Senesced><-HarvRes><----------------- GHG ----------------><--Balance->
!                                     Surf        Soil        Surf        Soil     Storage        Surf        Soil        Surf        Soil     Storage 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi     CH4STDi        SC0D       SOMCT        LC0D        LCTD      CH4STD      OMAC     SENCC      HRCH     CO2EC     CH4EC    CH4LCC    CH4COC      CUMBAL
   1 TUDU1501.WHX         1 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309685.44        0.00     1453.73        0.00      0.00      0.00      0.00   2966.42      0.00      0.00      0.00     -0.0189
   2 TUDU1501.WHX         2 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309687.62        0.00     1443.25        0.00      0.00      0.00      0.00   2974.70      0.00      0.00      0.00     -0.0211
   3 TUDU1501.WHX         3 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309557.16        0.00     1514.26        0.00      0.00      0.00      0.00   3034.23      0.00      0.00      0.00      0.0416
   4 TUDU1501.WHX         4 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309685.56        0.00     1450.54        0.00      0.00      0.00      0.00   2969.47      0.00      0.00      0.00     -0.0253
   5 TUDU1501.WHX         5 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309717.38        0.00     1331.07        0.00      0.00      0.00      0.00   3057.10      0.00      0.00      0.00     -0.0579
   6 TUDU1501.WHX         6 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309681.47        0.00     1469.74        0.00      0.00      0.00      0.00   2954.40      0.00      0.00      0.00      0.0263
   7 TUDU1501.WHX         7 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309713.81        0.00     1347.70        0.00      0.00      0.00      0.00   3044.06      0.00      0.00      0.00     -0.0368
   8 TUDU1501.WHX         8 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309759.44        0.00     1192.60        0.00      0.00      0.00      0.00   3153.50      0.00      0.00      0.00     -0.0643
   9 TUDU1501.WHX         9 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309763.00        0.00     1180.06        0.00      0.00      0.00      0.00   3162.55      0.00      0.00      0.00      0.0239
  10 TUDU1501.WHX        10 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309557.19        0.00     1514.31        0.00      0.00      0.00      0.00   3034.17      0.00      0.00      0.00      0.0716
  11 TUDU1501.WHX        11 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309759.44        0.00     1192.60        0.00      0.00      0.00      0.00   3153.50      0.00      0.00      0.00     -0.0643
  12 TUDU1501.WHX        12 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309760.78        0.00     1185.71        0.00      0.00      0.00      0.00   3159.07      0.00      0.00      0.00     -0.0256
  13 TUDU1501.WHX        13 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309735.09        0.00     1281.81        0.00      0.00      0.00      0.00   3088.73      0.00      0.00      0.00      0.0400
  14 TUDU1501.WHX        14 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309724.41        0.00     1305.27        0.00      0.00      0.00      0.00   3075.95      0.00      0.00      0.00      0.0474
  15 TUDU1501.WHX        15 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309548.16        0.00     1557.40        0.00      0.00      0.00      0.00   3000.08      0.00      0.00      0.00      0.0508
