*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  MAR 01, 2026 09:34:20

*RUN   1        : 1                         WHAPS048 TUDU1501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         WHAPS048
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                                    NH4 (ppm) at soil dep. (cm):                                                    Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    NT9D    NT10    
   15 076     0     0     0   129.8   116.8    13.0     0.0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.87     3.9     3.9    3.87    3.87    3.87    3.87    3.87    3.87    3.87    0.43    0.43    0.43    0.43    0.43    0.43    0.43    0.43    0.43    0.43    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30
   15 077     1     0     0   129.7   118.4    11.2     0.0    0.15    1.64    0.00    0.24    0.00   -0.09    0.00    0.00    0.00    3.92     3.9     3.9    3.92    3.92    3.92    3.92    3.92    3.92    3.92    0.25    0.26    0.39    0.38    0.38    0.38    0.38    0.38    0.38    0.38    4.17    4.18    4.31    4.31    4.31    4.31    4.31    4.31    4.30    4.30
   15 078     2     0     0   129.6   119.8     9.8     0.0    0.28    3.01    0.00    0.44    0.00   -0.16    0.00    0.00    0.00    4.01     3.9     4.0    3.96    3.96    3.97    3.97    3.97    3.97    3.97    0.12    0.13    0.35    0.35    0.35    0.34    0.34    0.34    0.34    0.34    4.13    4.07    4.31    4.31    4.31    4.31    4.31    4.31    4.31    4.31
   15 079     3     0     0   129.6   120.9     8.6     0.0    0.39    4.15    0.00    0.58    0.00   -0.19    0.00    0.00    0.00    4.09     3.9     4.0    4.00    4.00    4.00    4.00    4.01    4.01    4.01    0.03    0.05    0.32    0.31    0.31    0.31    0.31    0.31    0.30    0.30    4.12    3.97    4.31    4.31    4.31    4.31    4.31    4.31    4.31    4.31
   15 080     4     0     0   129.5   121.8     7.7     0.0    0.48    5.08    0.00    0.67    0.00   -0.20    0.00    0.00    0.00    4.08     3.9     4.0    4.02    4.03    4.03    4.03    4.04    4.04    4.04    0.00    0.00    0.29    0.29    0.28    0.28    0.28    0.28    0.27    0.27    4.08    3.93    4.30    4.31    4.32    4.31    4.32    4.32    4.31    4.31
   15 081     5     0     0   129.5   122.5     7.0     0.0    0.54    5.86    0.00    0.74    0.00   -0.20    0.00    0.00    0.00    4.09     3.9     4.0    4.05    4.05    4.06    4.06    4.06    4.07    4.07    0.00    0.00    0.27    0.26    0.26    0.26    0.26    0.25    0.25    0.25    4.09    3.89    4.30    4.31    4.32    4.31    4.32    4.32    4.31    4.32
   15 082     6     0     0   129.5   123.2     6.4     0.0    0.56    6.52    0.00    0.75    0.00   -0.19    0.00    0.00    0.00    4.13     3.9     4.0    4.06    4.07    4.08    4.08    4.09    4.09    4.09    0.00    0.00    0.25    0.24    0.24    0.24    0.23    0.23    0.23    0.22    4.13    3.87    4.29    4.31    4.31    4.31    4.32    4.32    4.32    4.32
   15 083     7     0     0   129.6   123.8     5.8     0.0    0.57    7.09    0.00    0.75    0.00   -0.18    0.00    0.00    0.00    4.20     3.9     4.1    4.08    4.09    4.10    4.10    4.10    4.11    4.11    0.00    0.00    0.23    0.22    0.22    0.22    0.22    0.21    0.21    0.20    4.20    3.85    4.29    4.30    4.31    4.31    4.32    4.32    4.31    4.32
   15 084     8     0     0   129.6   124.3     5.3     0.0    0.58    7.61    0.00    0.75    0.00   -0.17    0.00    0.00    0.00    4.27     3.8     4.1    4.09    4.11    4.11    4.12    4.12    4.12    4.13    0.00    0.00    0.21    0.21    0.20    0.20    0.20    0.20    0.19    0.19    4.27    3.83    4.28    4.30    4.31    4.31    4.31    4.32    4.31    4.32
   15 085     9     0     0   129.6   124.7     4.8     0.0    0.60    8.10    0.00    0.76    0.00   -0.16    0.00    0.00    0.00    4.33     3.8     4.1    4.11    4.12    4.13    4.13    4.14    4.14    4.15    0.00    0.00    0.20    0.19    0.19    0.18    0.18    0.18    0.17    0.17    4.33    3.81    4.27    4.30    4.31    4.31    4.31    4.32    4.31    4.32
   15 086    10     0     0   129.6   125.2     4.4     0.0    0.63    8.55    0.00    0.78    0.00   -0.14    0.00    0.00    0.00    4.37     3.8     4.1    4.12    4.14    4.14    4.15    4.15    4.16    4.16    0.00    0.00    0.18    0.17    0.17    0.17    0.17    0.16    0.16    0.15    4.37    3.78    4.27    4.29    4.31    4.31    4.31    4.32    4.31    4.32
   15 087    11     0     0   129.6   125.6     4.0     0.0    0.67    8.98    0.00    0.81    0.00   -0.14    0.00    0.00    0.00    4.42     3.7     4.1    4.13    4.15    4.16    4.16    4.17    4.17    4.18    0.00    0.00    0.17    0.16    0.16    0.16    0.15    0.15    0.14    0.14    4.42    3.75    4.26    4.29    4.31    4.31    4.32    4.32    4.32    4.32
   15 088    12     0     0   129.6   125.9     3.7     0.0    0.73    9.38    0.00    0.86    0.00   -0.13    0.00    0.00    0.00    4.46     3.7     4.1    4.14    4.16    4.17    4.18    4.18    4.18    4.19    0.00    0.00    0.16    0.15    0.15    0.14    0.14    0.14    0.13    0.13    4.46    3.70    4.26    4.29    4.31    4.31    4.32    4.32    4.32    4.32
   15 089    13     0     0   129.4   126.1     3.4     0.0    0.81    9.77    0.00    0.93    0.00   -0.12    0.18    0.00    0.00    3.39     4.1     4.1    4.15    4.18    4.18    4.19    4.20    4.20    4.20    0.00    0.00    0.14    0.14    0.14    0.13    0.13    0.13    0.12    0.12    3.39    4.05    4.25    4.29    4.31    4.31    4.32    4.32    4.32    4.32
   15 090    14     0     0   129.3   126.2     3.1     0.0    0.87   10.11    0.00    1.00    0.00   -0.13    0.32    0.00    0.00    2.76     4.1     4.3    4.16    4.19    4.19    4.20    4.21    4.21    4.22    0.00    0.00    0.13    0.13    0.13    0.12    0.12    0.12    0.11    0.11    2.76    4.10    4.48    4.29    4.31    4.31    4.32    4.32    4.32    4.32
   15 091    15     0     0   129.2   126.3     2.8     0.0    0.94   10.43    0.00    1.08    0.00   -0.14    0.43    0.00    0.00    2.57     4.0     4.7    4.24    4.18    4.19    4.20    4.21    4.21    4.22    0.00    0.00    0.13    0.12    0.12    0.11    0.11    0.11    0.10    0.10    2.57    3.96    4.81    4.36    4.30    4.30    4.31    4.32    4.31    4.32
   15 092    16     0     0   129.0   126.4     2.6     0.0    0.99   10.71    0.00    1.13    0.00   -0.14    0.61    0.00    0.00    2.40     3.7     4.9    4.48    4.18    4.18    4.20    4.21    4.21    4.22    0.00    0.00    0.12    0.11    0.11    0.10    0.10    0.10    0.09    0.09    2.40    3.73    4.98    4.59    4.28    4.28    4.30    4.31    4.30    4.31
   15 093    17     0     0   128.9   126.5     2.4     0.0    1.03   10.95    0.00    1.16    0.00   -0.14    0.65    0.00    0.00    2.35     3.4     4.5    4.56    4.55    4.29    4.20    4.22    4.21    4.23    0.00    0.00    0.11    0.10    0.10    0.10    0.09    0.09    0.09    0.08    2.35    3.44    4.57    4.66    4.65    4.38    4.29    4.31    4.30    4.31
   15 094    18     0     0   128.9   126.7     2.2     0.0    1.04   11.17    0.00    1.16    0.00   -0.13    0.69    0.00    0.00    2.63     3.4     4.6    4.63    4.59    4.26    4.19    4.21    4.20    4.22    0.00    0.00    0.10    0.09    0.09    0.09    0.09    0.08    0.08    0.08    2.63    3.40    4.67    4.72    4.68    4.35    4.27    4.30    4.28    4.30
   15 095    19     0     0   128.8   126.8     2.0     0.0    1.04   11.35    0.00    1.16    0.00   -0.12    0.78    0.00    0.00    2.57     3.2     4.3    4.57    4.58    4.60    4.28    4.21    4.20    4.22    0.00    0.00    0.10    0.09    0.09    0.08    0.08    0.08    0.07    0.07    2.57    3.23    4.37    4.66    4.67    4.68    4.36    4.29    4.28    4.29
   15 096    20     0     0   128.8   126.9     1.8     0.0    1.04   11.51    0.00    1.16    0.00   -0.12    0.84    0.00    0.00    2.85     3.2     4.3    4.57    4.61    4.59    4.27    4.21    4.20    4.22    0.00    0.00    0.09    0.08    0.08    0.08    0.07    0.07    0.07    0.06    2.85    3.21    4.37    4.65    4.69    4.66    4.34    4.28    4.26    4.28
   15 097    21     0     0   128.7   127.0     1.7     0.0    1.04   11.66    0.00    1.16    0.00   -0.12    0.88    0.00    0.00    3.09     3.2     4.2    4.55    4.59    4.61    4.28    4.21    4.20    4.22    0.00    0.00    0.09    0.08    0.08    0.07    0.07    0.07    0.06    0.06    3.09    3.20    4.32    4.63    4.67    4.68    4.35    4.28    4.26    4.28
   15 098    22    40     1   142.3   127.1    15.2    26.4    1.04   11.79    0.00    1.16    0.00   -0.12    0.91    0.00    0.00    3.73     3.2     4.3    4.52    4.56    4.58    4.26    4.20    4.18    4.21   20.32    0.38    0.08    0.07    0.07    0.07    0.06    0.06    0.06    0.05   24.04    3.58    4.36    4.59    4.63    4.65    4.33    4.26    4.24    4.26
   15 099    23    40     1   151.6   128.1    23.5    17.0    1.04   12.78    0.00    1.16    0.00   -0.12    1.00    0.00    0.00    5.04     3.2     4.3    4.52    4.57    4.58    4.27    4.21    4.19    4.21   32.90    0.64    0.08    0.07    0.07    0.06    0.06    0.06    0.05    0.05   37.93    3.84    4.35    4.58    4.63    4.64    4.33    4.26    4.24    4.26
   15 100    24    40     1   157.9   129.6    28.3    10.3    1.05   14.47    0.00    1.16    0.00   -0.12    1.42    0.00    0.00    7.26     3.2     4.3    4.52    4.57    4.59    4.27    4.21    4.19    4.22   40.15    0.80    0.07    0.06    0.06    0.06    0.05    0.05    0.05    0.05   47.40    4.00    4.35    4.58    4.63    4.64    4.33    4.26    4.24    4.26
   15 101    25    40     1   161.9   131.7    30.2     5.7    1.09   16.80    0.00    1.22    0.00   -0.12    2.00    0.00    0.00   10.36     3.2     4.3    4.52    4.57    4.59    4.28    4.22    4.20    4.22   43.17    0.85    0.07    0.06    0.06    0.05    0.05    0.05    0.04    0.04   53.53    4.05    4.34    4.58    4.63    4.64    4.33    4.26    4.24    4.26
   15 102    26    40     1   164.1   134.3    29.8     2.8    1.19   19.72    0.00    1.33    0.00   -0.14    2.71    0.00    0.00   14.26     3.2     4.3    4.52    4.58    4.60    4.28    4.22    4.20    4.23   42.69    0.79    0.06    0.06    0.06    0.05    0.05    0.05    0.04    0.04   56.95    3.94    4.34    4.58    4.63    4.65    4.33    4.27    4.24    4.27
   15 103    27    40     1   164.9   137.2    27.6     1.2    1.34   23.08    0.00    1.48    0.00   -0.14    3.45    0.00    0.00   18.81     3.1     4.3    4.53    4.58    4.60    4.29    4.23    4.20    4.23   39.69    0.64    0.07    0.06    0.06    0.05    0.05    0.05    0.04    0.04   58.50    3.71    4.33    4.58    4.64    4.65    4.34    4.27    4.25    4.27
   15 104    28    40     1   164.7   139.8    24.8     0.5    1.51   26.32    0.00    1.64    0.00   -0.12    4.40    0.00    0.00   23.18     2.8     4.2    4.53    4.59    4.61    4.29    4.23    4.21    4.24   35.68    0.44    0.07    0.06    0.06    0.05    0.05    0.05    0.04    0.04   58.87    3.25    4.29    4.59    4.65    4.66    4.34    4.28    4.25    4.28
   15 105    29    40     1   164.4   142.1    22.3     0.2    1.70   29.08    0.00    1.78    0.00   -0.08    5.01    0.00    0.00   27.05     2.6     4.2    4.52    4.59    4.61    4.30    4.24    4.22    4.24   32.03    0.27    0.07    0.06    0.06    0.05    0.05    0.05    0.04    0.04   59.09    2.84    4.23    4.58    4.65    4.66    4.35    4.29    4.26    4.28
   15 106    30    40     1   164.0   144.0    20.0     0.1    1.91   31.48    0.00    1.91    0.00   -0.00    5.50    0.00    0.00   30.46     2.3     4.1    4.50    4.60    4.62    4.30    4.24    4.22    4.25   28.75    0.14    0.07    0.06    0.06    0.05    0.05    0.05    0.04    0.04   59.21    2.48    4.13    4.56    4.66    4.67    4.36    4.30    4.27    4.29
   15 107    31    40     1   163.7   145.7    18.0     0.0    2.14   33.66    0.00    2.03    0.00    0.11    6.03    0.00    0.00   11.44    10.9     6.6    4.94    4.73    4.69    4.31    4.25    4.23    4.25   25.73    0.04    0.07    0.06    0.07    0.06    0.06    0.05    0.05    0.04   37.17   10.94    6.70    5.00    4.79    4.75    4.37    4.31    4.27    4.30
   15 108    32    40     1   159.7   144.7    15.0     0.0    2.37   34.99    0.00    2.23    0.00    0.14   10.04    0.00    0.00   11.18     9.2     6.7    4.96    4.75    4.70    4.60    4.66    4.36    4.25   21.08    0.00    0.08    0.07    0.07    0.06    0.06    0.06    0.05    0.05   32.26    9.19    6.75    5.03    4.82    4.76    4.66    4.72    4.40    4.30
   15 109    33    40     1   158.0   145.4    12.6     0.0    2.56   36.61    0.00    2.39    0.00    0.18   11.76    0.00    0.00   13.38     8.4     6.5    5.00    4.75    4.69    4.62    4.67    4.49    4.25   17.45    0.00    0.09    0.07    0.07    0.06    0.06    0.06    0.05    0.05   30.83    8.38    6.55    5.07    4.82    4.75    4.68    4.73    4.54    4.30
   15 110    34    40     1   156.8   146.0    10.8     0.0    2.73   38.02    0.00    2.51    0.00    0.22   12.99    0.00    0.00   16.31     7.8     6.2    4.96    4.74    4.69    4.61    4.66    4.48    4.24   14.59    0.00    0.09    0.07    0.07    0.06    0.06    0.06    0.05    0.05   30.90    7.80    6.26    5.03    4.81    4.75    4.66    4.72    4.52    4.29
   15 111    35    40     1   155.1   145.9     9.1     0.0    2.86   39.09    0.00    2.58    0.00    0.28   14.81    0.00    0.00   18.29     7.2     5.9    4.87    4.70    4.66    4.59    4.65    4.46    4.23   12.06    0.00    0.09    0.07    0.07    0.06    0.06    0.06    0.05    0.04   30.35    7.21    6.00    4.94    4.77    4.72    4.65    4.71    4.51    4.28
   15 112    36    40     1   152.6   144.9     7.6     0.0    2.96   39.91    0.00    2.62    0.00    0.35   17.36    0.00    0.00   17.92     6.7     5.7    4.79    4.70    4.67    4.60    4.66    4.47    4.24    9.81    0.00    0.08    0.07    0.07    0.06    0.06    0.05    0.04    0.04   27.73    6.72    5.81    4.86    4.77    4.73    4.65    4.71    4.51    4.28
   15 113    37    40     1   149.8   143.3     6.4     0.0    3.07   40.61    0.00    2.65    0.00    0.42   20.23    0.00    0.00   17.55     6.0     5.4    4.61    4.69    4.67    4.60    4.66    4.47    4.24    8.04    0.00    0.08    0.07    0.07    0.06    0.05    0.05    0.04    0.04   25.59    5.96    5.44    4.68    4.76    4.73    4.65    4.72    4.51    4.28
   15 114    38    40     1   148.5   142.8     5.8     0.0    3.18   41.24    0.00    2.67    0.00    0.51   21.56    0.00    0.00   18.03     5.5     5.1    4.47    4.68    4.68    4.61    4.67    4.47    4.25    7.03    0.00    0.07    0.06    0.07    0.06    0.05    0.05    0.04    0.04   25.06    5.51    5.18    4.53    4.74    4.73    4.66    4.72    4.52    4.29
   15 115    39    40     1   146.4   141.2     5.2     0.0    3.30   41.81    0.00    2.69    0.00    0.61   23.77    0.00    0.00   18.43     4.7     4.6    4.16    4.63    4.68    4.61    4.67    4.48    4.25    6.17    0.00    0.07    0.06    0.07    0.06    0.05    0.05    0.04    0.04   24.60    4.69    4.65    4.22    4.69    4.74    4.66    4.72    4.52    4.29
   15 116    40    40     1   143.8   139.4     4.4     0.0    3.45   42.35    0.00    2.71    0.00    0.73   26.51    0.00    0.00   18.04     4.0     4.1    3.83    4.54    4.69    4.62    4.68    4.48    4.25    5.04    0.00    0.06    0.06    0.06    0.06    0.05    0.05    0.04    0.04   23.08    4.04    4.14    3.89    4.61    4.74    4.67    4.73    4.53    4.29
   15 117    41    40     1   140.5   136.9     3.6     0.0    3.62   42.81    0.00    2.73    0.00    0.89   30.02    0.00    0.00   14.74     4.4     3.6    3.50    4.42    4.69    4.62    4.68    4.49    4.26    3.72    0.00    0.06    0.05    0.06    0.06    0.05    0.05    0.04    0.04   18.46    4.37    3.66    3.55    4.48    4.75    4.68    4.74    4.53    4.30
   15 118    42    40     1   136.0   133.5     2.5     0.0    3.81   43.14    0.00    2.76    0.00    1.05   34.65    0.00    0.00    8.53     5.1     3.4    3.36    4.35    4.70    4.63    4.69    4.49    4.26    1.89    0.00    0.06    0.06    0.07    0.06    0.06    0.05    0.04    0.04   10.42    5.10    3.48    3.42    4.41    4.76    4.68    4.74    4.54    4.31
   15 119    43    40     1   133.7   131.6     2.1     0.0    4.02   43.39    0.00    2.77    0.00    1.24   37.15    0.00    0.00    6.78     4.8     3.2    3.22    4.24    4.70    4.63    4.69    4.49    4.27    1.33    0.00    0.07    0.06    0.07    0.06    0.06    0.06    0.04    0.04    8.11    4.78    3.29    3.28    4.30    4.76    4.69    4.75    4.54    4.31
   15 120    44    40     1   132.5   130.6     1.9     0.0    4.22   43.63    0.00    2.78    0.00    1.44   38.53    0.00    0.00    6.11     4.6     3.1    3.18    4.18    4.69    4.62    4.69    4.49    4.26    0.96    0.00    0.07    0.06    0.07    0.06    0.06    0.06    0.05    0.04    7.07    4.57    3.21    3.24    4.25    4.75    4.68    4.75    4.53    4.31
   15 121    45    40     1   129.7   128.1     1.7     0.0    4.42   43.85    0.00    2.78    0.00    1.64   41.50    0.00    0.00    1.77     3.1     4.2    3.80    4.44    4.83    4.70    4.69    4.49    4.26    0.52    0.01    0.07    0.06    0.07    0.06    0.06    0.06    0.05    0.04    2.30    3.14    4.29    3.86    4.51    4.90    4.76    4.74    4.53    4.31
   15 122    46    40     1   127.6   126.0     1.5     0.0    4.60   44.00    0.00    2.78    0.00    1.82   43.83    0.00    0.00    1.10     2.5     3.6    3.46    4.10    4.91    4.85    4.81    4.49    4.26    0.32    0.02    0.07    0.06    0.07    0.06    0.06    0.06    0.05    0.04    1.42    2.52    3.71    3.52    4.17    4.97    4.91    4.86    4.53    4.31
   15 123    47    40     1   125.3   123.9     1.4     0.0    4.75   44.14    0.00    2.78    0.00    1.97   46.28    0.00    0.00    0.39     1.7     2.9    3.17    3.80    4.89    5.02    4.95    4.56    4.27    0.13    0.03    0.07    0.06    0.06    0.06    0.06    0.06    0.05    0.04    0.53    1.72    2.99    3.22    3.86    4.96    5.08    5.00    4.61    4.31
   15 124    48    40     1   124.0   122.6     1.4     0.0    4.94   44.28    0.01    2.78    0.00    2.17   47.78    0.00    0.00    0.30     1.3     2.2    2.57    3.10    4.16    4.62    4.74    4.62    4.61    0.10    0.04    0.07    0.06    0.06    0.07    0.06    0.06    0.05    0.04    0.40    1.33    2.25    2.63    3.17    4.22    4.68    4.80    4.66    4.65
   15 125    49    40     1   121.8   120.4     1.4     0.0    5.22   44.44    0.01    2.78    0.00    2.45   50.21    0.00    0.00    0.11     0.9     1.7    2.11    2.67    3.96    4.65    4.80    4.65    4.64    0.04    0.05    0.07    0.06    0.06    0.07    0.07    0.06    0.05    0.04    0.15    0.92    1.76    2.16    2.73    4.03    4.71    4.86    4.70    4.68
   15 126    50    40     1   119.9   118.3     1.5     0.0    5.59   44.62    0.02    2.78    0.00    2.81   52.51    0.00    0.00    0.05     0.4     0.9    1.61    2.31    3.68    4.71    4.92    4.71    4.67    0.04    0.07    0.07    0.06    0.06    0.07    0.07    0.07    0.05    0.05    0.09    0.46    1.01    1.66    2.37    3.75    4.78    4.98    4.76    4.72
   15 127    51    40     1   119.2   117.5     1.7     0.0    5.98   44.80    0.07    2.78    0.00    3.20   53.53    0.00    0.00    0.04     0.3     0.7    1.24    1.78    2.83    3.97    4.47    4.56    4.62    0.06    0.11    0.08    0.07    0.07    0.07    0.08    0.07    0.06    0.05    0.10    0.41    0.75    1.30    1.85    2.90    4.05    4.54    4.62    4.67
   15 128    52    40     1   116.3   114.6     1.7     0.0    6.41   45.02    0.09    2.78    0.00    3.63   55.17    1.63    0.00    0.02     0.2     0.5    0.92    1.37    2.28    3.61    4.25    4.50    4.60    0.04    0.13    0.08    0.07    0.07    0.07    0.08    0.08    0.06    0.05    0.05    0.33    0.56    0.99    1.43    2.35    3.69    4.33    4.56    4.65
   15 129    53    40     1   114.9   113.1     1.8     0.0    6.87   45.25    0.09    2.78    0.00    4.09   57.03    1.63    0.00    0.01     0.1     0.3    0.66    1.04    1.92    3.55    4.27    4.51    4.60    0.04    0.13    0.07    0.06    0.06    0.07    0.09    0.08    0.06    0.06    0.05    0.25    0.40    0.72    1.10    1.98    3.63    4.35    4.57    4.66
   15 130    54    40     1   113.1   111.3     1.8     0.0    7.29   45.48    0.10    2.78    0.00    4.51   58.79    2.14    0.00    0.00     0.1     0.2    0.43    0.73    1.51    3.31    4.18    4.50    4.59    0.04    0.11    0.06    0.06    0.06    0.06    0.09    0.09    0.07    0.06    0.04    0.18    0.27    0.49    0.79    1.57    3.40    4.27    4.56    4.66
   15 131    55    40     1   111.8   110.1     1.7     0.0    7.66   45.69    0.10    2.78    0.00    4.88   60.37    2.14    0.00    0.00     0.0     0.1    0.28    0.51    1.20    3.15    4.19    4.50    4.60    0.03    0.10    0.05    0.05    0.05    0.05    0.09    0.09    0.07    0.06    0.03    0.14    0.18    0.33    0.56    1.26    3.24    4.28    4.57    4.66
   15 132    56    40     1   110.9   109.2     1.7     0.0    8.04   45.91    0.10    2.78    0.00    5.27   61.69    2.14    0.00    0.00     0.0     0.1    0.19    0.36    0.96    2.93    4.20    4.50    4.60    0.03    0.09    0.05    0.04    0.05    0.05    0.08    0.09    0.07    0.06    0.03    0.11    0.13    0.23    0.41    1.01    3.01    4.29    4.57    4.66
   15 133    57    40     1   110.2   108.4     1.8     0.0    8.46   46.15    0.10    2.78    0.00    5.68   62.84    2.14    0.00    0.00     0.0     0.1    0.13    0.27    0.78    2.66    4.22    4.50    4.60    0.04    0.09    0.05    0.05    0.05    0.05    0.08    0.09    0.07    0.07    0.05    0.11    0.11    0.18    0.32    0.83    2.73    4.31    4.58    4.67
   15 134    58    40     1   109.5   107.7     1.8     0.0    8.90   46.41    0.10    2.78    0.00    6.12   63.92    2.14    0.00    0.00     0.0     0.0    0.10    0.21    0.64    2.33    4.23    4.51    4.61    0.04    0.08    0.05    0.05    0.05    0.05    0.07    0.09    0.07    0.07    0.04    0.11    0.10    0.15    0.26    0.69    2.40    4.32    4.58    4.68
   15 135    59    40     1   109.0   107.2     1.8     0.0    9.34   46.68    0.10    2.78    0.00    6.56   64.93    2.14    0.00    0.00     0.0     0.0    0.08    0.17    0.52    2.00    4.23    4.52    4.62    0.04    0.08    0.06    0.05    0.05    0.05    0.07    0.09    0.07    0.07    0.04    0.10    0.10    0.13    0.22    0.57    2.07    4.33    4.59    4.69
   15 136    60    40     1   108.5   106.7     1.8     0.0    9.77   46.95    0.11    2.78    0.00    6.99   65.86    2.14    0.00    0.00     0.0     0.0    0.06    0.13    0.42    1.69    4.21    4.53    4.63    0.04    0.08    0.06    0.05    0.05    0.05    0.06    0.09    0.07    0.07    0.04    0.09    0.09    0.12    0.18    0.47    1.75    4.30    4.60    4.70
   15 137    61    40     1   108.0   106.2     1.8     0.0   10.19   47.21    0.11    2.78    0.00    7.41   66.71    2.14    0.00    0.00     0.0     0.0    0.05    0.11    0.35    1.44    4.17    4.54    4.64    0.03    0.07    0.06    0.05    0.05    0.05    0.06    0.09    0.07    0.07    0.04    0.09    0.09    0.11    0.16    0.40    1.50    4.26    4.61    4.70
   15 138    62    40     1   107.6   105.8     1.8     0.0   10.58   47.46    0.11    2.78    0.00    7.80   67.53    2.14    0.00    0.00     0.0     0.0    0.05    0.09    0.29    1.23    4.06    4.55    4.64    0.03    0.07    0.06    0.05    0.05    0.05    0.06    0.09    0.07    0.07    0.03    0.08    0.09    0.10    0.14    0.33    1.28    4.15    4.62    4.71
   15 139    63    40     1   107.1   105.4     1.8     0.0   10.95   47.71    0.11    2.78    0.00    8.17   68.35    2.14    0.00    0.00     0.0     0.0    0.04    0.07    0.23    1.02    3.91    4.56    4.66    0.03    0.07    0.06    0.05    0.05    0.05    0.05    0.09    0.07    0.07    0.03    0.08    0.09    0.10    0.13    0.28    1.07    4.00    4.63    4.72
   15 140    64    40     1   106.7   104.9     1.8     0.0   11.32   47.95    0.11    2.78    0.00    8.54   69.16    2.14    0.00    0.00     0.0     0.0    0.04    0.07    0.19    0.86    3.70    4.57    4.66    0.05    0.08    0.05    0.05    0.05    0.05    0.05    0.08    0.07    0.07    0.05    0.09    0.07    0.08    0.12    0.24    0.91    3.78    4.64    4.73
   15 141    65    40     1   106.3   104.5     1.8     0.0   11.67   48.17    0.11    2.78    0.00    8.89   69.94    2.14    0.00    0.00     0.0     0.0    0.03    0.05    0.16    0.72    3.46    4.58    4.67    0.06    0.10    0.06    0.05    0.04    0.04    0.05    0.08    0.07    0.07    0.06    0.11    0.08    0.08    0.09    0.21    0.77    3.54    4.65    4.74
   15 142    66    40     1   104.2   102.4     1.8     0.0   12.00   48.39    0.11    2.78    0.00    9.23   70.72    3.80    0.00    0.00     0.0     0.0    0.02    0.03    0.09    0.49    2.64    4.36    4.65    0.05    0.11    0.07    0.05    0.04    0.04    0.05    0.07    0.07    0.06    0.05    0.12    0.08    0.08    0.08    0.13    0.54    2.71    4.43    4.71
   15 143    67    40     1   103.7   102.0     1.7     0.0   12.32   48.59    0.11    2.78    0.00    9.54   71.47    3.80    0.00    0.00     0.0     0.0    0.02    0.02    0.07    0.40    2.42    4.38    4.65    0.03    0.10    0.06    0.05    0.04    0.04    0.04    0.07    0.07    0.06    0.03    0.11    0.07    0.06    0.06    0.10    0.44    2.49    4.45    4.72
   15 144    68    40     1   103.3   101.7     1.6     0.0   12.60   48.76    0.11    2.78    0.00    9.82   72.14    3.80    0.00    0.00     0.0     0.0    0.01    0.02    0.05    0.31    2.18    4.40    4.66    0.03    0.09    0.05    0.04    0.04    0.03    0.04    0.06    0.07    0.06    0.03    0.10    0.06    0.05    0.05    0.08    0.35    2.24    4.47    4.72
   15 145    69    40     1   103.0   101.4     1.6     0.0   12.86   48.93    0.11    2.78    0.00   10.08   72.75    3.80    0.00    0.00     0.0     0.0    0.01    0.01    0.04    0.25    1.93    4.37    4.72    0.02    0.08    0.04    0.03    0.03    0.03    0.04    0.06    0.07    0.06    0.02    0.09    0.06    0.05    0.05    0.07    0.29    2.00    4.44    4.78
   15 146    70    40     1   101.3    99.7     1.5     0.0   13.16   49.10    0.11    2.78    0.00   10.39   73.31    5.25    0.00    0.00     0.0     0.0    0.01    0.01    0.03    0.18    1.52    4.10    4.66    0.02    0.07    0.04    0.03    0.03    0.03    0.04    0.06    0.07    0.06    0.02    0.08    0.05    0.04    0.04    0.06    0.22    1.58    4.17    4.72
   15 147    71    40     1   100.5    99.0     1.5     0.0   13.49   49.28    0.11    2.78    0.00   10.71   73.86    5.81    0.00    0.00     0.0     0.0    0.01    0.01    0.02    0.14    1.28    3.99    4.64    0.03    0.06    0.04    0.03    0.03    0.03    0.04    0.06    0.07    0.06    0.03    0.07    0.05    0.04    0.04    0.05    0.18    1.34    4.06    4.70
   15 148    72    40     1   100.2    98.7     1.5     0.0   13.80   49.45    0.11    2.78    0.00   11.02   74.40    5.84    0.00    0.00     0.0     0.0    0.01    0.01    0.02    0.12    1.14    3.95    4.64    0.02    0.06    0.03    0.03    0.03    0.03    0.04    0.06    0.07    0.06    0.02    0.06    0.04    0.04    0.04    0.05    0.15    1.20    4.02    4.71
