Treatment,Nitrogen_Applied_kg_ha,Yield_Simulated_kg_ha,Biomass_Simulated_kg_ha,Harvest_Index_Simulated,Grain_Weight_Simulated_mg,Grain_Number_Simulated,Grain_Nitrogen_Simulated_kg_ha,Yield_Observed_kg_ha,Yield_Observed_Std,Yield_Observed_n,Grain_Weight_Observed_mg,Grain_Weight_Observed_Std,Grain_Nitrogen_Observed_kg_ha,Grain_Nitrogen_Observed_Std,Harvest_Date_Observed,Yield_Difference_kg_ha,Yield_Error_Percent,Grain_Weight_Difference_mg,Grain_Weight_Error_Percent,Grain_Nitrogen_Difference_kg_ha,Grain_Nitrogen_Error_Percent
1,120,6192.0,11404.0,0.543,39.5,15667.0,128.3,6335.75,783.0604622249805,4,39.75,2.0463381929681126,126.75,18.659782956937093,17219,-143.75,-2.2688710886635364,-0.25,-0.628930817610063,1.5500000000000114,1.2228796844181549
2,120,6202.0,11445.0,0.542,39.3,15762.0,128.7,7389.75,830.6691203481685,4,40.75,1.7853571071357126,149.75,17.68297203526602,17219,-1187.75,-16.07293886802666,-1.4500000000000028,-3.558282208588964,-21.05000000000001,-14.05676126878131
3,40,2948.0,4868.0,0.606,39.4,7478.0,51.7,7128.5,741.6999056222132,4,40.75,1.0897247358851685,132.75,18.619546181365433,17219,-4180.5,-58.644876201164344,-1.3500000000000014,-3.312883435582826,-81.05,-61.05461393596987
4,120,6181.0,11393.0,0.543,39.4,15676.0,127.7,8173.5,201.33367825577517,4,41.0,0.7071067811865476,168.0,6.670832032063167,17219,-1992.5,-24.37756163210375,-1.6000000000000014,-3.9024390243902474,-40.3,-23.988095238095237
5,120,6699.0,13323.0,0.503,35.5,18868.0,122.1,8499.0,629.3826340152706,4,41.5,0.5,166.25,13.423393758658799,17219,-1800.0,-21.178962230850686,-6.0,-14.457831325301203,-44.150000000000006,-26.556390977443613
6,120,6168.0,11364.0,0.543,39.4,15655.0,126.3,6538.75,870.0285555658504,4,39.0,1.0,125.5,19.241881404893856,17219,-370.75,-5.670043968648442,0.3999999999999986,1.025641025641022,0.7999999999999972,0.637450199203185
7,120,6711.0,13346.0,0.503,35.6,18861.0,121.5,8045.5,411.6810051484037,4,41.5,1.118033988749895,164.75,13.5531361684298,17219,-1334.5,-16.58691193835063,-5.899999999999999,-14.216867469879515,-43.25,-26.251896813353564
8,180,7022.0,14654.0,0.479,34.0,20670.0,167.7,8822.0,372.5701276270012,4,40.25,0.4330127018922193,204.25,11.648497757221744,17219,-1800.0,-20.40353661301292,-6.25,-15.527950310559005,-36.55000000000001,-17.894736842105267
9,180,7020.0,14651.0,0.479,33.9,20692.0,167.5,9401.5,813.5860433906176,4,41.25,1.299038105676658,216.5,31.028212968200407,17219,-2381.5,-25.331064191884273,-7.350000000000001,-17.81818181818182,-49.0,-22.632794457274827
10,60,2953.0,4873.0,0.606,39.5,7479.0,51.8,8909.25,686.7104102167084,4,40.75,0.4330127018922193,199.25,22.92787604642,17219,-5956.25,-66.85467351348318,-1.25,-3.067484662576687,-147.45,-74.00250941028858
11,180,7022.0,14654.0,0.479,34.0,20670.0,167.7,9877.0,52.730446612938906,4,39.25,1.479019945774904,239.5,4.6097722286464435,17219,-2855.0,-28.905538118862,-5.25,-13.375796178343949,-71.80000000000001,-29.979123173277667
12,180,7013.0,14620.0,0.48,33.9,20663.0,166.2,9744.5,541.3337694990032,4,41.0,1.224744871391589,229.25,28.083580612165537,17219,-2731.5,-28.03119708553543,-7.100000000000001,-17.31707317073171,-63.05000000000001,-27.502726281352242
13,180,7010.0,14590.0,0.48,34.0,20606.0,164.9,8274.75,796.0177055191674,4,39.25,0.4330127018922193,182.0,27.367864366808018,17219,-1264.75,-15.284449681259252,-5.25,-13.375796178343949,-17.099999999999994,-9.395604395604392
14,180,6753.0,13449.0,0.502,35.4,19072.0,162.1,9467.5,150.46012760861265,4,40.75,1.0897247358851685,225.5,6.103277807866851,17219,-2714.5,-28.67177185106945,-5.350000000000001,-13.128834355828225,-63.400000000000006,-28.11529933481153
15,0,2827.0,4747.0,0.596,37.8,7479.0,47.9,2552.625,527.0827585635865,8,36.25,0.82915619758885,43.0,9.096702699330127,17219,274.375,10.748739043141864,1.5499999999999972,4.27586206896551,4.899999999999999,11.3953488372093
