Variable,RMSE,MAE,R2,ModelEfficiency,Bias,n
Yield,2544.017222860005,2065.8416666666667,-1.013823371016735,-1.013823371016735,-2029.2583333333334,15
GrainWeight,4.53670217963078,3.7533333333333334,-10.862632084534104,-10.862632084534104,-3.493333333333334,15
GrainNitrogen,58.540043275237394,45.693333333333335,-0.369177900972377,-0.369177900972377,-44.72666666666667,15
