weekly_rain_mm,Spring_Control_0N,Spring_Low_N_120N,Spring_High_N_180N,Winter_Control_0N,Winter_Low_N_120N,Winter_High_N_180N
0,103.9,87.6,80.8,110.7,97.2,79.5
5,104.2,94.3,86.6,111.4,98.3,85.5
10,104.3,97.0,92.8,112.7,98.5,88.9
15,104.4,97.0,93.8,113.7,98.6,89.4
20,104.6,97.0,93.8,114.3,98.7,89.5

