Variable,RMSE,MAE,R2,ModelEfficiency,Bias,n
Yield,1853.8546893904604,1546.475,-1.799709379951235,-1.799709379951235,-1528.6583333333333,15
GrainWeight,5.385551658527347,5.029999999999999,-80.19362363919124,-80.19362363919124,-4.269999999999999,15
GrainNitrogen,53.73754894546891,43.976666666666674,-1.3831405038248783,-1.3831405038248783,-43.57,15
